user_feature_1,user_feature_2,user_feature_3,choice
Non-binary / third gender,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,More than 4 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Design and appearance,Color: Dark blue; Style: Gradient color; Weight: 2.64 pounds; Price: $25 (MSRP: $25)
Female,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,More than 4 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Color: Dark blue; Style: Solid color; Weight: 2.61 pounds; Price: $25 (MSRP: $25)
Female,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Product quality,Color: Dark blue; Style: Solid color; Weight: 2.61 pounds; Price: $25 (MSRP: $25)
Female,More than 4 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,1-2 years ago,Good price,Color: White; Style: Solid color; Weight: 2.68 pounds; Price: $27 (MSRP: $27)
Male,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,More than 4 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,Less than 1 year ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,Less than 1 year ago,Brand reputation,Color: Dark blue; Style: Gradient color; Weight: 2.64 pounds; Price: $25 (MSRP: $25)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,Less than 1 year ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,1-2 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Product quality,Color: White; Style: Solid color; Weight: 2.68 pounds; Price: $27 (MSRP: $27)
Male,3-4 yeas ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,Less than 1 year ago,Product quality,Color: White; Style: Solid color; Weight: 2.68 pounds; Price: $27 (MSRP: $27)
Male,Less than 1 year ago,Good price,Color: Dark blue; Style: Solid color; Weight: 2.61 pounds; Price: $25 (MSRP: $25)
Female,3-4 yeas ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,Less than 1 year ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,3-4 yeas ago,Product quality,Color: Black; Style: Gradient color; Weight: 2.66 pounds; Price: $26 (MSRP: $26)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Product quality,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Female,Less than 1 year ago,Design and appearance,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,Less than 1 year ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,More than 4 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Product quality,Color: Dark blue; Style: Gradient color; Weight: 2.64 pounds; Price: $25 (MSRP: $25)
Male,1-2 years ago,Brand reputation,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,Less than 1 year ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,More than 4 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Good price,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Female,2-3 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,Less than 1 year ago,Product quality,Color: Dark blue; Style: Solid color; Weight: 2.61 pounds; Price: $25 (MSRP: $25)
Female,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,1-2 years ago,Good price,Color: Dark blue; Style: Solid color; Weight: 2.61 pounds; Price: $25 (MSRP: $25)
Female,Less than 1 year ago,Good price,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Female,2-3 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,Less than 1 year ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Male,1-2 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,3-4 yeas ago,Design and appearance,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,More than 4 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Good price,Color: Dark blue; Style: Gradient color; Weight: 2.64 pounds; Price: $25 (MSRP: $25)
Female,2-3 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Male,3-4 yeas ago,Product quality,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Male,1-2 years ago,Good price,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,2-3 years ago,Good price,Color: Dark blue; Style: Solid color; Weight: 2.61 pounds; Price: $25 (MSRP: $25)
Female,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,1-2 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Female,More than 4 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,1-2 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Male,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Prefer not to say,1-2 years ago,Good price,Color: Dark blue; Style: Gradient color; Weight: 2.64 pounds; Price: $25 (MSRP: $25)
Male,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Design and appearance,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,2-3 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,Less than 1 year ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,Less than 1 year ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,Less than 1 year ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
